machine_id,sequence_id,wrow,wcol,scan_position,tag,rlu,rlu.rq,timestamp,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
1234567,0,H,8,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,H,9,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,H,10,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,H,11,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,H,12,NA,NA,1954000,ValidSlopeSaturation,NA,NA,1,m,mAb (4F8),64000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,63.9398699421699,FALSE
1234567,0,A,1,NA,NA,519200,ValidSlopeSaturation,NA,NA,2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,7.23782972335406,FALSE
1234567,0,A,2,NA,NA,499000,ValidSlopeSaturation,NA,NA,2,x,MI/15 Mouse 45,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,10.84780899278,FALSE
1234567,0,A,3,NA,NA,287400,ValidSlopeSaturation,NA,NA,2,x,MI/15 Mouse 45,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,48.6632353992423,FALSE
1234567,0,A,4,NA,NA,506500,ValidSlopeSaturation,NA,NA,2,x,MI/15 Mouse 46,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,9.50747015512188,FALSE
1234567,0,A,5,NA,NA,265300,ValidSlopeSaturation,NA,NA,2,x,MI/15  Mouse 46,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,52.6127671742083,FALSE
