wrow,wcol,rlu,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
A,11,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
A,12,120,NA,2,m,mAb (4F8),500,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,100.00357424,FALSE
B,1,497300,NA,2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,11.15161913,FALSE
B,2,608100,NA,2,x,Mouse 4,80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-8.64965330,FALSE
B,3,630400,NA,2,x,Mouse 4,80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-12.63492744,FALSE
B,4,678000,NA,2,x,Mouse 5,80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-21.14161127,FALSE
B,5,789700,NA,2,x,Mouse 5,80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-41.10372435,FALSE
B,6,497900,NA,2,x,Mouse 6,80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,11.04439202,FALSE
B,7,485400,NA,2,x,Mouse 6,80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,13.27829009,FALSE
B,8,590400,NA,2,x,Mouse 7,80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.48645364,FALSE
B,9,598500,NA,2,x,Mouse 7,80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.93401959,FALSE
B,10,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
B,11,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
B,12,250,NA,2,m,mAb (4F8),1000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.98034170,FALSE
C,1,670900,NA,2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,-19.87275717,FALSE
C,2,719700,NA,2,x,Mouse 4,160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-28.59389520,FALSE
C,3,596300,NA,2,x,Mouse 4,160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.54085353,FALSE
C,4,532600,NA,2,x,Mouse 5,160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,4.84309100,FALSE
C,5,560300,NA,2,x,Mouse 5,160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-0.10722711,FALSE
C,6,704000,NA,2,x,Mouse 6,160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-25.78811924,FALSE
C,7,605500,NA,2,x,Mouse 6,160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-8.18500250,FALSE
C,8,597000,NA,2,x,Mouse 7,160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.66595182,FALSE
C,9,933600,NA,2,x,Mouse 7,160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-66.82035885,FALSE
C,10,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
C,11,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
C,12,190,NA,2,m,mAb (4F8),2000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.99106441,FALSE
D,1,608400,NA,2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,-8.70326685,FALSE
D,2,826600,NA,2,x,Mouse 4,320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-47.69819144,FALSE
D,3,719800,NA,2,x,Mouse 4,320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-28.61176639,FALSE
